long,lat,height-above-ellipsoid
10.3784157,48.9936306,1185.2
10.3783525,48.9935504,1184.2
10.3782792,48.9934738,1183.2
10.3781961,48.9933949,1182.4
10.3781008,48.9933208,1181.6
10.3780098,48.9932396,1182.6
10.3779337,48.9931492,1183.9
10.3778627,48.9930641,1184.0
10.3777973,48.9929778,1184.2
10.3777354,48.9928893,1184.4
10.377673,48.9928002,1184.7
10.3776045,48.9927176,1184.9
10.3775393,48.9926269,1183.9
10.3774684,48.9925384,1182.6
10.3774008,48.9924416,1180.9
10.3773409,48.9923362,1178.4
10.3772877,48.9922225,1176.2
10.3772358,48.9921008,1174.9
10.3771803,48.9919796,1173.3
10.3771232,48.9918529,1171.9
10.3770595,48.9917273,1171.9
10.376977,48.9916173,1169.3
10.3768938,48.9915007,1169.3
10.3768028,48.991394,1167.9
10.3767148,48.9912776,1167.0
10.3766165,48.9911682,1165.8
10.3765198,48.9910575,1166.4
10.3764134,48.9909585,1166.0
10.3763021,48.990872,1166.3
10.3761949,48.9907951,1166.4
10.3760978,48.9907192,1166.7
10.3760039,48.9906432,1166.7
10.3759197,48.9905639,1168.0
10.3758452,48.9904718,1167.7
10.3757764,48.9903683,1167.3
10.3757109,48.9902631,1167.3
10.3756346,48.9901678,1166.3
10.3755491,48.9900787,1164.9
10.3754624,48.9899876,1163.0
10.3753804,48.9898924,1161.4
10.3753018,48.9897926,1159.5
10.3752326,48.9896827,1157.8
10.3751702,48.9895721,1156.9
10.3751114,48.9894591,1155.9
10.3750502,48.9893482,1153.9
10.3749872,48.9892375,1152.2
10.3749303,48.9891214,1150.2
10.3748799,48.9890023,1148.3
10.3748333,48.9888802,1146.7
10.3747911,48.9887574,1146.2
10.3747456,48.9886363,1145.3
10.3746837,48.9885278,1143.2
10.3746016,48.988427,1140.8
10.3745042,48.9883313,1139.0
10.3743993,48.9882448,1138.2
10.3742986,48.9881597,1136.4
10.3741995,48.9880768,1133.7
10.3741062,48.9879845,1131.6
10.37401,48.987889,1130.5
10.3739117,48.9877958,1129.3
10.3738171,48.9877032,1128.4
10.3737254,48.9876109,1127.0
10.3736372,48.9875198,1125.7
10.373553,48.9874296,1124.4
10.3734806,48.9873288,1123.6
10.373415,48.9872228,1121.8
10.3733566,48.987109,1120.5
10.3732978,48.9869954,1119.3
10.3732299,48.986886,1117.7
10.37316,48.9867758,1116.9
10.3730924,48.9866682,1116.1
10.373024,48.9865682,1115.4
10.3729527,48.9864734,1114.2
10.3728801,48.9863819,1112.7
10.3728056,48.9862917,1111.0
10.3727312,48.9862,1109.5
10.3726611,48.9861043,1108.0
10.3725934,48.98601,1107.3
10.3725321,48.9859163,1107.5
10.3659913,48.9358532,1086.4
10.3660907,48.935792,1087.8
10.3662376,48.9357206,1087.4
10.3664089,48.9356929,1086.9
10.3665856,48.9356611,1086.9
10.3667544,48.9356236,1087.0
10.366925,48.9355861,1086.0
10.3671058,48.9355465,1084.5
10.3672833,48.9354893,1082.2
10.3674452,48.935408,1080.4
10.3675867,48.9353152,1079.5
10.3677078,48.9352117,1078.7
10.3677979,48.9351064,1078.4
10.3678645,48.9349999,1078.0
10.3679124,48.9348859,1076.9
10.3679427,48.9347726,1076.0
10.3679689,48.9346562,1074.8
10.3679904,48.9345391,1073.7
